"CanonicalTeamId","CanonicalTeamName","IdentityConfidence","AliasCount","ProviderTeamId","Evidence","Aliases"
"FMXT0001","FK Trakai","CONFIRMED","1","638","api-football provider team id 638 + single spelling in the whole corpus","	FK Trakai"
"FMXT0002","1. FSV Mainz 05","CONFIRMED","3","","fixture-fingerprint link across sources","1. FSV Mainz 05 | 1. FSV Mainz 05 (GER) | Mainz"
"FMXT0003","Aarhus","CONFIRMED","1","406","api-football provider team id 406 + single spelling in the whole corpus","Aarhus"
"FMXT0004","Aberdeen","CONFIRMED","2","252","api-football provider team id 252 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Aberdeen | Aberdeen FC (SCO)"
"FMXT0005","AC Pisa 1909","CONFIRMED","1","","single spelling in the whole corpus","AC Pisa 1909"
"FMXT0006","Adana Demirspor","CONFIRMED","2","3563","api-football provider team id 3563 + fixture-fingerprint link across sources","Ad. Demirspor | Adana Demirspor"
"FMXT0007","Admira Wacker","CONFIRMED","1","1023","api-football provider team id 1023 + single spelling in the whole corpus","Admira Wacker"
"FMXT0008","AEK Athens FC","CONFIRMED","3","575","api-football provider team id 575 + fixture-fingerprint link across sources","AEK Athen (GRE) | AEK Athens | AEK Athens FC"
"FMXT0009","AEK Larnaca","CONFIRMED","2","614","api-football provider team id 614 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","AEK Larnaca | AEK Larnaca (CYP)"
"FMXT0010","AEL","CONFIRMED","1","3396","api-football provider team id 3396 + single spelling in the whole corpus","AEL"
"FMXT0011","AIK Solna","CONFIRMED","1","","single spelling in the whole corpus","AIK Solna (SWE)"
"FMXT0012","AIK Stockholm","CONFIRMED","1","377","api-football provider team id 377 + single spelling in the whole corpus","AIK Stockholm"
"FMXT0013","AC Ajaccio","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","AC Ajaccio | Ajaccio"
"FMXT0014","Ajax","CONFIRMED","3","194","api-football provider team id 194 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","AFC Ajax | AFC Ajax (NED) | Ajax"
"FMXT0015","Akademija Pandev","CONFIRMED","1","4194","api-football provider team id 4194 + single spelling in the whole corpus","Akademija Pandev"
"FMXT0016","Akhisar Belediyespor","CONFIRMED","1","","fixture-fingerprint link across sources + single spelling in the whole corpus","Akhisar Belediyespor"
"FMXT0017","Akhisarspor","CONFIRMED","1","995","api-football provider team id 995 + single spelling in the whole corpus","Akhisarspor"
"FMXT0018","Alanyaspor","CONFIRMED","1","996","api-football provider team id 996 + fixture-fingerprint link across sources + single spelling in the whole corpus","Alanyaspor"
"FMXT0019","Alashkert","CONFIRMED","2","582","api-football provider team id 582 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Alashkert | FC Alashkert (ARM)"
"FMXT0020","Deportivo Alavés","CONFIRMED","3","","fixture-fingerprint link across sources","Alaves | CD Alavés | Deportivo Alavés"
"FMXT0021","Almere City FC","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Almere City | Almere City FC"
"FMXT0022","UD Almería","CONFIRMED","2","","fixture-fingerprint link across sources","Almeria | UD Almería"
"FMXT0023","Altay","CONFIRMED","1","","fixture-fingerprint link across sources + single spelling in the whole corpus","Altay"
"FMXT0024","Amiens SC","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Amiens | Amiens SC"
"FMXT0025","Anderlecht","CONFIRMED","2","554","api-football provider team id 554 + fixture-fingerprint link across sources","Anderlecht | RSC Anderlecht (BEL)"
"FMXT0026","Angers SCO","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Angers | Angers SCO"
"FMXT0027","MKE Ankaragücü","CONFIRMED","3","","fixture-fingerprint link across sources","Ankaragucu | Ankaragücü | MKE Ankaragücü"
"FMXT0028","Anorthosis","CONFIRMED","2","2269","api-football provider team id 2269 + fixture-fingerprint link across sources","Anorthosis | Anorthosis Famagusta (CYP)"
"FMXT0029","Antalyaspor","CONFIRMED","1","1005","api-football provider team id 1005 + fixture-fingerprint link across sources + single spelling in the whole corpus","Antalyaspor"
"FMXT0030","Antwerp","CONFIRMED","2","740","api-football provider team id 740 + fixture-fingerprint link across sources","Antwerp | Royal Antwerp FC (BEL)"
"FMXT0031","Apoel Nicosia","CONFIRMED","3","2247","api-football provider team id 2247 + fixture-fingerprint link across sources","APOEL | Apoel Nicosia | APOEL Nikosia (CYP)"
"FMXT0032","Apollon Limassol","CONFIRMED","2","602","api-football provider team id 602 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Apollon Limassol | Apollon Limassol (CYP)"
"FMXT0033","Ararat","CONFIRMED","1","3682","api-football provider team id 3682 + single spelling in the whole corpus","Ararat"
"FMXT0034","Araz-Naxçıvan PFK","CONFIRMED","1","","single spelling in the whole corpus","Araz-Naxçıvan PFK (AZE)"
"FMXT0035","Arda Kardzhali","CONFIRMED","2","1430","api-football provider team id 1430 + all spellings normalise to one name, guard-checked","Arda Kardzhali | Arda Kardzhali (BUL)"
"FMXT0036","Aris","CONFIRMED","2","3408","api-football provider team id 3408 + fixture-fingerprint link across sources","Aris | Aris Limassol (CYP)"
"FMXT0037","Aris Saloniki","CONFIRMED","1","","single spelling in the whole corpus","Aris Saloniki (GRE)"
"FMXT0038","Aris Thessalonikis","CONFIRMED","1","1123","api-football provider team id 1123 + single spelling in the whole corpus","Aris Thessalonikis"
"FMXT0039","Arka Gdynia","CONFIRMED","1","344","api-football provider team id 344 + single spelling in the whole corpus","Arka Gdynia"
"FMXT0040","Arouca","CONFIRMED","1","240","api-football provider team id 240 + single spelling in the whole corpus","Arouca"
"FMXT0041","Arsenal","CONFIRMED","3","42","api-football provider team id 42 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Arsenal | Arsenal FC | Arsenal FC (ENG)"
"FMXT0042","Arsenal Tivat","CONFIRMED","1","3742","api-football provider team id 3742 + single spelling in the whole corpus","Arsenal Tivat"
"FMXT0043","Arsenal Tula","CONFIRMED","1","1077","api-football provider team id 1077 + single spelling in the whole corpus","Arsenal Tula"
"FMXT0044","AS Jeunesse Esch","CONFIRMED","1","2034","api-football provider team id 2034 + single spelling in the whole corpus","AS Jeunesse Esch"
"FMXT0045","Monaco","CONFIRMED","5","91","api-football provider team id 91 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","AS Monaco | AS Monaco (FRA) | AS Monaco FC | AS Monaco FC (MCO) | Monaco"
"FMXT0046","AS Trencin","CONFIRMED","1","655","api-football provider team id 655 + single spelling in the whole corpus","AS Trencin"
"FMXT0047","Ashdod","CONFIRMED","1","4507","api-football provider team id 4507 + single spelling in the whole corpus","Ashdod"
"FMXT0048","Asteras Tripolis","CONFIRMED","1","955","api-football provider team id 955 + single spelling in the whole corpus","Asteras Tripolis"
"FMXT0049","Aston Villa","CONFIRMED","4","66","api-football provider team id 66 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Aston Villa | Aston Villa (ENG) | Aston Villa FC | Aston Villa FC (ENG)"
"FMXT0050","Atalanta","CONFIRMED","4","499","api-football provider team id 499 + fixture-fingerprint link across sources","Atalanta | Atalanta (ITA) | Atalanta BC | Atalanta BC (ITA)"
"FMXT0051","Athletic Club","CONFIRMED","3","531","api-football provider team id 531 + fixture-fingerprint link across sources","Ath Bilbao | Athletic Club | Athletic Club (ESP)"
"FMXT0052","Atlantas","CONFIRMED","1","686","api-football provider team id 686 + single spelling in the whole corpus","Atlantas"
"FMXT0054","Atlètic Club d'Escaldes","CONFIRMED","2","3345","api-football provider team id 3345 + all spellings normalise to one name, guard-checked","Atlètic Club d'Escaldes | Atlétic Escaldes (AND)"
"FMXT0055","Atletico Madrid","CONFIRMED","7","530","api-football provider team id 530 + fixture-fingerprint link across sources","Ath Madrid | Atleti | Atletico Madrid | Atlético Madrid | Atlético Madrid (ESP) | Club Atlético de Madrid | Club Atlético de Madrid (ESP)"
"FMXT0056","Atromitos Athinon","CONFIRMED","1","952","api-football provider team id 952 + single spelling in the whole corpus","Atromitos Athinon"
"FMXT0057","FC Augsburg","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Augsburg | FC Augsburg"
"FMXT0058","Austria Vienna","CONFIRMED","2","601","api-football provider team id 601 + fixture-fingerprint link across sources","Austria Vienna | Austria Wien (AUT)"
"FMXT0059","AJ Auxerre","CONFIRMED","2","","fixture-fingerprint link across sources","AJ Auxerre | Auxerre"
"FMXT0060","AZ Alkmaar","CONFIRMED","3","201","api-football provider team id 201 + fixture-fingerprint link across sources","AZ | AZ Alkmaar | AZ Alkmaar (NED)"
"FMXT0061","B36 Torshavn","CONFIRMED","2","678","api-football provider team id 678 + all spellings normalise to one name, guard-checked","B36 Torshavn | B36 Tórshavn (FRO)"
"FMXT0062","Bala Town","CONFIRMED","2","352","api-football provider team id 352 + all spellings normalise to one name, guard-checked","Bala Town | Bala Town (WAL)"
"FMXT0063","Ballkani","CONFIRMED","2","12733","api-football provider team id 12733 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Ballkani | KF Ballkani (KOS)"
"FMXT0064","Ballymena United","CONFIRMED","1","668","api-football provider team id 668 + single spelling in the whole corpus","Ballymena United"
"FMXT0065","Balzan FC","CONFIRMED","1","696","api-football provider team id 696 + single spelling in the whole corpus","Balzan FC"
"FMXT0066","Banga Gargždai","CONFIRMED","1","","single spelling in the whole corpus","Banga Gargždai (LTU)"
"FMXT0067","Bangor City","CONFIRMED","1","681","api-football provider team id 681 + single spelling in the whole corpus","Bangor City"
"FMXT0068","Baník Ostrava","CONFIRMED","1","","single spelling in the whole corpus","Baník Ostrava (CZE)"
"FMXT0069","Barcelona","CONFIRMED","3","529","api-football provider team id 529 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Barcelona | FC Barcelona | FC Barcelona (ESP)"
"FMXT0070","Barnsley FC","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Barnsley | Barnsley FC"
"FMXT0071","Barry Town","CONFIRMED","1","361","api-football provider team id 361 + single spelling in the whole corpus","Barry Town"
"FMXT0072","Başakşehir","CONFIRMED","5","564","api-football provider team id 564 + fixture-fingerprint link across sources","Başakşehir | Buyuksehyr | Istanbul Basaksehir | İstanbul Başakşehir | İstanbul Başakşehir (TUR)"
"FMXT0073","Bate Borisov","CONFIRMED","1","388","api-football provider team id 388 + single spelling in the whole corpus","Bate Borisov"
"FMXT0074","Bayer Leverkusen","CONFIRMED","5","168","api-football provider team id 168 + fixture-fingerprint link across sources","Bayer 04 Leverkusen | Bayer 04 Leverkusen (GER) | Bayer Leverkusen | Bayer Leverkusen (GER) | Leverkusen"
"FMXT0075","Bayern München","CONFIRMED","5","157","api-football provider team id 157 + fixture-fingerprint link across sources","Bayern Munich | Bayern München | Bayern München (GER) | FC Bayern München | FC Bayern München (GER)"
"FMXT0076","Beitar Jerusalem","CONFIRMED","2","657","api-football provider team id 657 + all spellings normalise to one name, guard-checked","Beitar Jerusalem | Beitar Jerusalem (ISR)"
"FMXT0077","Benevento Calcio","CONFIRMED","2","","fixture-fingerprint link across sources","Benevento | Benevento Calcio"
"FMXT0078","Benfica","CONFIRMED","3","211","api-football provider team id 211 + fixture-fingerprint link across sources","Benfica | SL Benfica (POR) | Sport Lisboa e Benfica (POR)"
"FMXT0079","Beşiktaş","CONFIRMED","3","549","api-football provider team id 549 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Besiktas | Beşiktaş | Beşiktaş (TUR)"
"FMXT0080","Real Betis","CONFIRMED","4","543","api-football provider team id 543 + fixture-fingerprint link across sources","Betis | Real Betis | Real Betis (ESP) | Real Betis Balompié"
"FMXT0081","BFC Daugavpils","CONFIRMED","1","","single spelling in the whole corpus","BFC Daugavpils (LVA)"
"FMXT0082","Arminia Bielefeld","CONFIRMED","2","","fixture-fingerprint link across sources","Arminia Bielefeld | Bielefeld"
"FMXT0083","Birkirkara","CONFIRMED","2","2277","api-football provider team id 2277 + all spellings normalise to one name, guard-checked","Birkirkara | Birkirkara FC (MLT)"
"FMXT0084","Birmingham City FC","CONFIRMED","3","","fixture-fingerprint link across sources","Birmingham | Birmingham City | Birmingham City FC"
"FMXT0085","BK Hacken","CONFIRMED","3","367","api-football provider team id 367 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","BK Hacken | BK Häcken (SWE) | Häcken"
"FMXT0086","Blackburn Rovers FC","CONFIRMED","3","","fixture-fingerprint link across sources","Blackburn | Blackburn Rovers | Blackburn Rovers FC"
"FMXT0087","Blackpool FC","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Blackpool | Blackpool FC"
"FMXT0088","Bnei Yehuda","CONFIRMED","1","4508","api-football provider team id 4508 + single spelling in the whole corpus","Bnei Yehuda"
"FMXT0089","VfL Bochum 1848","CONFIRMED","2","","fixture-fingerprint link across sources","Bochum | VfL Bochum 1848"
"FMXT0090","Bodo/Glimt","CONFIRMED","3","327","api-football provider team id 327 + fixture-fingerprint link across sources","Bodo/Glimt | Bodø/Glimt | FK Bodø/Glimt (NOR)"
"FMXT0091","Bodrum FK","CONFIRMED","2","","fixture-fingerprint link across sources","Bodrum FK | Bodrumspor"
"FMXT0092","Bohemians","CONFIRMED","1","3840","api-football provider team id 3840 + single spelling in the whole corpus","Bohemians"
"FMXT0093","Bohemians 1905","CONFIRMED","1","3714","api-football provider team id 3714 + single spelling in the whole corpus","Bohemians 1905"
"FMXT0094","Bologna FC 1909","CONFIRMED","4","","fixture-fingerprint link across sources","Bologna | Bologna FC | Bologna FC 1909 | Bologna FC 1909 (ITA)"
"FMXT0095","Bolton Wanderers","CONFIRMED","2","","fixture-fingerprint link across sources","Bolton | Bolton Wanderers"
"FMXT0096","Borac Banja Luka","CONFIRMED","2","3364","api-football provider team id 3364 + all spellings normalise to one name, guard-checked","Borac Banja Luka | Borac Banja Luka (BIH)"
"FMXT0097","Bordeaux","CONFIRMED","2","78","api-football provider team id 78 + fixture-fingerprint link across sources","Bordeaux | Girondins Bordeaux"
"FMXT0098","Borussia Monchengladbach","CONFIRMED","7","163","api-football provider team id 163 + fixture-fingerprint link across sources","Bor. Mönchengladbach | Bor. Mönchengladbach (GER) | Borussia Monchengladbach | Borussia Mönchengladbach | MGladbach | M'gladbach | Mönchengladbach"
"FMXT0099","Botev Plovdiv","CONFIRMED","2","634","api-football provider team id 634 + all spellings normalise to one name, guard-checked","Botev Plovdiv | Botev Plovdiv (BUL)"
"FMXT0100","AFC Bournemouth","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","AFC Bournemouth | Bournemouth"
"FMXT0101","Breidablik","CONFIRMED","3","276","api-football provider team id 276 + fixture-fingerprint link across sources","Breidablik | Breiðablik | Breiðablik (ISL)"
"FMXT0102","Brentford FC","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Brentford | Brentford FC"
"FMXT0103","Brescia Calcio","CONFIRMED","2","","fixture-fingerprint link across sources","Brescia | Brescia Calcio"
"FMXT0104","Stade Brestois 29","CONFIRMED","3","","fixture-fingerprint link across sources","Brest | Stade Brestois 29 | Stade Brestois 29 (FRA)"
"FMXT0105","Brighton","CONFIRMED","4","51","api-football provider team id 51 + fixture-fingerprint link across sources","Brighton | Brighton & Hove Albion | Brighton & Hove Albion (ENG) | Brighton & Hove Albion FC"
"FMXT0106","Bristol City FC","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Bristol City | Bristol City FC"
"FMXT0107","Brondby","CONFIRMED","2","407","api-football provider team id 407 + fixture-fingerprint link across sources","Brondby | Brøndby IF (DEN)"
"FMXT0108","BSC Young Boys","CONFIRMED","3","565","api-football provider team id 565 + fixture-fingerprint link across sources","BSC Young Boys | BSC Young Boys (SUI) | Young Boys"
"FMXT0109","Budapest Honved","CONFIRMED","1","576","api-football provider team id 576 + single spelling in the whole corpus","Budapest Honved"
"FMXT0110","Burnley","CONFIRMED","2","44","api-football provider team id 44 + fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Burnley | Burnley FC"
"FMXT0111","Bursaspor","CONFIRMED","1","","fixture-fingerprint link across sources + single spelling in the whole corpus","Bursaspor"
"FMXT0112","Burton","CONFIRMED","1","","fixture-fingerprint link across sources + single spelling in the whole corpus","Burton"
"FMXT0113","Cádiz CF","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Cadiz | Cádiz CF"
"FMXT0114","SM Caen","CONFIRMED","2","","fixture-fingerprint link across sources","Caen | SM Caen"
"FMXT0115","Caernarfon Town","CONFIRMED","1","","single spelling in the whole corpus","Caernarfon Town (WAL)"
"FMXT0116","Cagliari Calcio","CONFIRMED","2","","fixture-fingerprint link across sources","Cagliari | Cagliari Calcio"
"FMXT0117","SC Cambuur","CONFIRMED","2","","fixture-fingerprint link across sources + all spellings normalise to one name, guard-checked","Cambuur | SC Cambuur"
"FMXT0118","Cardiff City FC","CONFIRMED","3","","fixture-fingerprint link across sources","Cardiff | Cardiff City | Cardiff City FC"
"FMXT0119","Cardiff MET","CONFIRMED","1","353","api-football provider team id 353 + single spelling in the whole corpus","Cardiff MET"
"FMXT0120","Santa Clara","CONFIRMED","2","227","api-football provider team id 227","CD Santa Clara (POR) | Santa Clara"
